ID,N,gap,Length_before,Length_after,Year,cluster,previous,Country
AB083803,0,18,1353,1335,2002,Bats DR_A1.1.2,Bats DR,Brazil
AB083804,0,18,1353,1335,2002,Bats DR_A1.1.13,Bats DR,Brazil
AB083805,0,18,1353,1335,2002,Bats DR_A1.1.13,Bats DR,Brazil
AB083806,0,18,1353,1335,2002,Bats DR_A1.1,Bats DR,Brazil
AB083807,0,18,1353,1335,2002,Bats DR_A1.1,Bats DR,Brazil
AB083809,0,18,1353,1335,2002,Bats DR_A1.1.7,Bats DR,Brazil
AB083810,0,18,1353,1335,2002,Bats DR_A1.1.7,Bats DR,Brazil
AB083811,0,18,1353,1335,2002,Bats DR_A1.1.7,Bats DR,Brazil
AB083812,0,18,1353,1335,2002,Bats DR_A1.1.13,Bats DR,Brazil
AB083813,0,18,1353,1335,2002,Bats DR_I1,Bats DR,Brazil
AB083814,0,18,1353,1335,2002,Bats DR_I1,Bats DR,Brazil
AB083815,0,18,1353,1335,2002,Bats DR_A1.1.4,Bats DR,Brazil
AB083816,0,18,1353,1335,2002,Bats DR_A1.1.4,Bats DR,Brazil
AB083817,0,18,1353,1335,2002,Bats DR_A1.1.13,Bats DR,Brazil
AB083818,0,18,1353,1335,2002,Bats DR_A1.1.13,Bats DR,Brazil
AB117969,0,0,1353,1353,2004,Bats DR_A1.1.13,Bats DR,Brazil
AB117970,0,0,1353,1353,2004,Bats DR_A1.1.13,Bats DR,Brazil
AB117971,0,0,1353,1353,2004,Bats DR_A1.1.13,Bats DR,Brazil
AB117972,0,0,1353,1353,2004,Bats DR_A1.1.13,Bats DR,Brazil
AB201802,0,18,1353,1335,2005,Bat_B1.1,Bats DR,Brazil
AB201803,0,18,1353,1335,2005,Bats DR_A1.1,Bats DR,Brazil
AB201804,0,18,1353,1335,2005,Bats DR_A1.1,Bats DR,Brazil
AB201805,0,18,1353,1335,2005,Bats DR_K1,Bats DR,Brazil
AB201807,0,18,1353,1335,2005,Bats_A1,Bats,Brazil
AB201809,0,18,1353,1335,2005,Bats_A1,Bats,Brazil
AB201810,0,18,1353,1335,2005,Bats DR_A1.1.13,Bats DR,Brazil
AB201811,0,18,1353,1335,2005,Bats_A1,Bats,Brazil
AB201812,0,18,1353,1335,2005,Bats_A1,Bats,Brazil
AB201813,0,18,1353,1335,2005,Bats_A1,Bats,Brazil
AB201814,0,18,1353,1335,2005,Bats_A1,Bats,Brazil
AB201817,0,18,1353,1335,2005,Bats DR_A1.1.13,Bats DR,Brazil
AB201820,0,18,1353,1335,2005,Bats DR_A1.1.7,Bats DR,Brazil
AB263325,0,21,1353,1332,2007,Bats DR_A1.1.13,Bats DR,Brazil
AB263333,0,21,1353,1332,2007,Bats DR_A1.1.13,Bats DR,Brazil
AB297627,0,18,1353,1335,2007,Bats DR_A1.1.13,Bats DR,Brazil
AB297628,0,18,1353,1335,2007,Bats DR_A1.1.13,Bats DR,Brazil
AB297629,0,18,1353,1335,2007,Bats DR_A1.1.13,Bats DR,Brazil
AB297631,0,18,1353,1335,2007,Bats DR_H1,Bats DR,Brazil
AB297632,0,18,1353,1335,2007,Bats DR_A1.1,Bats DR,Brazil
AB297633,0,18,1353,1335,2007,Bats DR_H1,Bats DR,Brazil
AB297635,0,18,1353,1335,2007,Bats DR_A1.1,Bats DR,Brazil
AB297636,0,18,1353,1335,2007,Bats DR_A1.1.4,Bats DR,Brazil
AB297639,0,18,1353,1335,2007,Bats DR_A1.1.7,Bats DR,Brazil
AB297640,0,18,1353,1335,2007,Bats DR_A1.1.7,Bats DR,Brazil
AB297641,0,18,1353,1335,2007,Bats DR_A1.1.7,Bats DR,Brazil
AB297642,0,18,1353,1335,2007,Bats DR_A1.1.7,Bats DR,Brazil
AB297643,0,18,1353,1335,2007,Bats DR_A1.1.7,Bats DR,Brazil
AB297644,0,18,1353,1335,2007,Bats DR_A1.1.7,Bats DR,Brazil
AB297646,0,18,1353,1335,2007,Bats DR_A1.1.7,Bats DR,Brazil
AB297650,0,18,1353,1335,2007,Bats_A1,Bats,Brazil
AB297652,0,18,1353,1335,2007,Bats LC_A1,Bats LC,Brazil
AB297653,0,18,1353,1335,2007,Bats LC_A1,Bats LC,Brazil
AB297654,0,18,1353,1335,2007,Bats LC_A1,Bats LC,Brazil
AB297655,0,18,1353,1335,2007,Bats_A1,Bats,Brazil
AB297657,0,18,1353,1335,2007,Bats_A1,Bats,Brazil
AB297658,0,18,1353,1335,2007,Bats_A1,Bats,Brazil
AB297659,0,18,1353,1335,2007,Bats_A1,Bats,Brazil
AB519641,0,23,NA,NA,2011,Bat_B1.1,Bats DR,Brazil
AB519642,0,25,NA,NA,2011,Bat_B1.1,Bats DR,Brazil
AB608731,0,0,NA,NA,2012,Bat_C1,Bats LC,Brazil
AB685222,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685223,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685224,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685225,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685226,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685228,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685229,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685230,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685231,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685232,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685233,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685234,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685235,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685236,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685237,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685238,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685239,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685240,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685241,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685242,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685243,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685244,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685245,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685246,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AB685247,0,0,1353,1353,2013,Bats DR_A1.1.13,Bats DR,Brazil
AF045166,0,0,1353,1353,2000,Bats DR_A1.1.13,Bats DR,Peru
AF070449,0,0,1353,1353,2000,Bats DR_A1.1.13,Bats DR,Brazil
AF351827,0,0,1353,1353,2001,Bats EF-E1_A1,Bats EF-E1,-
AF351829,0,0,1353,1353,2001,Bats EF-E1_A1,Bats EF-E1,-
AF351832,0,0,1353,1353,2001,Bats EF-E2_A1,Bats EF-E2,-
AF351834,0,0,1353,1353,2001,Bats LN_A1,Bats LN,-
AF351835,0,0,1353,1353,2001,Bats MYsp_A1,Bats MYsp,-
AF351836,0,0,1353,1353,2001,Bats MYsp_A1.2,Bats MYsp,-
AF351837,0,0,1353,1353,2001,Bats LN_A1,Bats,-
AF351839,0,0,1353,1353,2001,Bats MYsp_A1,Bats MYsp,-
AF351840,0,0,1353,1353,2001,Bats LN_A1,Bats LN,-
AF351841,0,0,1353,1353,2001,Bats LN_A1,Bats,-
AF351844,0,0,1353,1353,2001,Bats LC_A1,Bats LC,-
AF351845,0,0,1353,1353,2001,Bats LC_A1,Bats LC,-
AF351846,0,0,1353,1353,2001,Bats LC_A1,Bats LC,-
AF351849,0,0,1353,1353,2001,Bats TB1_A1.1,Bats TB1,-
AF351852,0,0,1353,1353,2001,Bats DR_A1.1.10,Bats DR,-
AF351853,0,0,1353,1353,2001,Bats EF-E1_A1,Bats EF-E1,-
AF351854,0,0,1353,1353,2001,Bats EF-E1_A1,Bats EF-E1,-
AF351857,0,0,1353,1353,2001,Bats LB2_A1,Bats LB2,-
AF351860,0,0,1353,1353,2001,Bats EF-E1_A1,Bats EF-E1,-
